2022-04-25 15:10:36.877  INFO 5800 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] o.s.a.r.l.SimpleMessageListenerContainer : Waiting for workers to finish.
2022-04-25 15:10:36.990  INFO 5800 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] o.s.a.r.l.SimpleMessageListenerContainer : Successfully waited for workers to finish.
2022-04-25 15:10:37.012  INFO 5800 --- [SpringApplicationShutdownHook] o.s.a.r.l.SimpleMessageListenerContainer : Shutdown ignored - container is already stopped
2022-04-25 15:10:45.165  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息59，优先级：9
2022-04-25 15:10:45.165  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息60，优先级：1
2022-04-25 15:10:45.165  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息61，优先级：9
2022-04-25 15:10:45.165  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息62，优先级：10
2022-04-25 15:10:45.165  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息63，优先级：3
2022-04-25 15:10:45.165  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息64，优先级：7
2022-04-25 15:10:45.166  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息65，优先级：9
2022-04-25 15:10:45.166  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息66，优先级：1
2022-04-25 15:10:45.166  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息67，优先级：4
2022-04-25 15:10:45.166  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息68，优先级：2
2022-04-25 15:10:45.166  INFO 1208 --- [http-nio-8080-exec-2] m.r.controller.MyController              : 开始发送消息：消息69，优先级：4
